configuration,task_id,round,status,dispatched,metric,score,cost_usd,input_tokens,cached_tokens,output_tokens,reasoning_tokens,evaluation_sha256,stats_sha256
Native,archeology-hard-7,first,completed,true,success,1,0.020911,29087,26015,797,264,e199332b6ffab6ca56bc98aa58f800881524bfd3223dbb70c70ccb260fa6e2f9,b37ac41a26cecb5ef05dc30ba6ddd2596bda064226fb5a581b3e84f07ace830b
Native,archeology-hard-9,first,completed,true,success,0,0.050924,51497,42401,2021,685,6f060dc08c4a9415269807718975b2411ead36ea0c24826be0d78f87a080dbc4,082403c2d8e63da45cf7dd31936fa55a93cd4fe1a6fb6bcb2ccd95b80875c136
Native,astronomy-easy-1,first,completed,true,success,1,0.022111,26695,24524,1072,498,e2e755fe3c68ede18912de26cce2a64a91345b9de39e109fd4039089608e1a1a,d10e758d4b0dfaf248d58c8d5f9986289ca58dcb737f435df11057e3710ad092
Native,astronomy-easy-2,first,completed,true,success,1,0.015498,26778,24830,553,60,99eaaba5abac28fcb5905223356150686994997ba2e10ebed2dcb61b04a338aa,5f94b7c9dc8a0fae15e3f1765a19f9b4e3b3f1651957e03de81c0c2a86fa26e5
Native,astronomy-easy-3,first,completed,true,success,0,0.030542,41637,37002,1156,484,5a4a90884ab74811c6370b47cfae48eb197747dc2f9a64482b4659f9df81e43f,962213b25655937307265ad105938b70888131511b827ad8dfe20772e6c7c1d4
Native,astronomy-easy-4,first,completed,true,llm_paraphrase,0,0.033861,19620,17535,2182,1344,d0c4c33ba907220a2736476015c3c3f43a64b506655b02b0c7b75574d032a017,e94db2ace2082d8de5cc883e5ea3546769e5f32dd6f7a50843f03788bbabc421
Native,astronomy-easy-5,first,completed,true,success,1,0.03185,27470,24041,1682,760,124abc9a9ef0787535176a0275abaa2ab9674f2e9cefc25996ec87b128873a09,81c3c03393cc1088c38438edf11f83f3bef5c8a7425a04bdaf82de97a3c2e9d8
Native,astronomy-easy-6,first,completed,true,f1_approximate,0.0,0.034436,33560,27898,1461,479,6029b9309ae36396eba1b319ab07c396db174e55939942b9cf939f55d0c1514d,abd18a638fdd03189b95ff7e7452e91b42a99d3b63fea40060be3149e3abd151
Native,astronomy-hard-10,first,completed,true,f1,1.0,0.070148,79455,68739,2914,1227,15510f02b2304e0d5756ad2f411fd0a51a47ba03ba47f1e356889fcca8838778,6b7828ecd23202064700cb0a992abf9e01a5304efbb138c704cc82286547cb13
Native,astronomy-hard-11,first,completed,true,success,0,0.085028,114662,105818,3848,1411,3c010a10f684085d92161b8a690429494cf4fca59c3a68e0ed1ae1f0af58a2c2,06418072e310a1a6eb8d581c9104bdebc2dfb360d6322b48760b94ba0099a370
Native,astronomy-hard-12,first,completed,true,success,0,0.052756,38055,32241,2890,1214,dde67a6a92a69fa426ef60d9b7a1f6ebef1553ebf3079703802150155c0bb9c4,387ebb1336f399c8d55892d41edce085f8bd324edc7c05158aee7f1eb93d15ed
Native,astronomy-hard-7,first,data_readiness_blocked,false,success,0,,,,,,4ad34c35b247bd8c68aa3afeda55df03c8dd805db941a08c93b635800127bec4,3e92100ae96691c7d6396a3354ec963cae0fec64963aa970faef1090122cdb4e
Native,astronomy-hard-8,first,completed,true,f1_approximate,0.0,0.044733,45462,41715,2408,1051,259c00edbbf5d4136530ffcb8da29ac856aa9bcd9aed3e41bd30ff3abd442dc8,5b0a783ad7232215c6d334a568a91cdd7e071ae7d61c717cc424b5fbb327a658
Native,astronomy-hard-9,first,completed,true,success,1,0.054341,61373,55483,2622,1165,6d73f8b51dd42f7073ae3ea285b6d32b47d7b244ad4b7fb91e6e240fae914dd7,2641f7b450b4f745dc158938e7edb80cf54648e3807949a8a5b7aa7582b4bc5f
Native,biomedical-easy-2,first,completed,true,success,0,0.018965,28183,25405,694,355,063b622331167db13d60235b740dfa72169ae04f98d44216026cf7dc5bb4a66c,16a435ddcec909c05593ce2798ba1a94f75792dc87081f02908aa831326d212f
Native,biomedical-easy-6,first,completed,true,success,1,0.016016,28287,25432,435,93,61ab84525c0151e375b81b51b9daaf391f2ca247fc69af98a61340d9188127f0,fbf611db74ecffbec5ea06e8ea4eed25eb89d3ce9d20bfeebf10fe7da4a092ac
Native,biomedical-easy-9,first,completed,true,success,1,0.040406,53726,46781,1430,621,532a754355ab3c19967817a2022026c89740acc94e3f8e63406b6b85bdb29bf0,35e66fa2823530a7a2b6a6ccdf145e5800ef2eff3fa360c4cdf0674289a236b7
Native,biomedical-hard-1,first,completed,true,success,1,0.025263,33433,28366,788,170,0111def47d81bd7e7e96436c7ecd244db3f72f29178bb219b91980cfa87b6b51,b1f5da9eb3284aab1d3b0f295450eb72f561ca4f7e1a316f9affa23c3be92309
Native,biomedical-hard-3,first,completed,true,success,1,0.021684,33168,27880,461,53,bfd4ae8576bb76abb7839cefea78ab473d33a24eb1540791c3734e8aada34694,25dc31911aa88e0dcd887975e7193440fcf0b08c9678779e5498616e862f2661
Native,biomedical-hard-4,first,completed,true,f1,1.0,0.025909,34030,28564,772,231,f1fc35efe145f089bc78009ecffdbb7c87dd6667e4efe8f0b1d3ddd9b82bc60c,d71856e5839da68c1a7b31f6fea9bd822763d0294334ddb1dbb4d706ed78b6d8
Native,biomedical-hard-5,first,completed,true,success,0,0.026468,38988,34722,916,314,0d882f5b8af46e41ddc78b6a6d3097c7f0697c3f0985eb1c00bfab14cc112631,eb72024a2d900cff470c461270c85fe91c6e8d706fe68dd020a3b0efa1b7534a
Native,biomedical-hard-7,first,completed,true,success,0,0.012505,26416,24464,309,41,3d65c9568ed624ac0a9ab2634f9c88a590de58a641e3752af07bc5ddedc8465d,2808cd47817b2209a25794804913234f4944ebc3da03b04fde6b1288e8fb36db
Native,biomedical-hard-8,first,completed,true,f1,1.0,0.039593,57226,50475,1333,508,be6be1cb380ac00034cdbdfddfbe7624c7db7a6582ce6ef7b7c7f13e234e30b1,370341f089a5294672e3a8d1f1b97129787e308b2ad7faf44f0806b1ce95b361
Native,environment-easy-1,first,completed,true,success,1,0.011613,26116,24366,270,28,08aff0425b22784fa981ff88f7f78ba4eea688fff2d77baa723d44735ed9762a,4d1881e6ca4d173109f9aa6e2631bd2aa6cf3ab6f598af146ffb385923c3ceeb
Native,environment-easy-2,first,completed,true,f1,1.0,0.068843,69635,53773,2197,585,78baa43ef9a0fe5a7a1b804e7034c1964115c65c8b83c2c3c96d93e538c6dbef,135bb8f43423a7d28d0afc4640727efd067c1bfa45c167742c066961532282a3
Native,environment-easy-3,first,completed,true,success,1,0.021327,29521,26193,786,169,575cd87e5342a4e742fdec60a0b6e84c9dafe9af736937303177729fa7946235,6c7500f136771174ddd7c7eedc1651fba01db91e3e8564352c65da69898bd294
Native,environment-easy-4,first,completed,true,success,1,0.025197,50629,47476,783,182,d42edab40be02c4e9762d18eb729a14ccb4c32f9cff8984140049c11ee1b237a,5898ad253fd527107d579ba83411042b4035530c999af8641cef095e33d2e795
Native,environment-easy-5,first,completed,true,success,1,0.018067,28195,24544,488,124,a775c9542ddf3ee03920563664273e816bfbfb7bbc2987f777bef509261c32fc,7d8fe34db337f5ae4f658dd35da0cb2b9119ff359b80148287c0423a807aa121
Native,environment-easy-6,first,completed,true,success,1,0.040532,64156,57580,1322,625,297cdc30e7aa44f5f061a75348b498b020de57488c09195cdb640c6045cec85a,72ca25933666d0f2f0394db363c74a919f8488f6fb93ffd2c41e8f45aba6c021
Native,environment-hard-10,first,completed,true,success,1,0.027909,31873,27743,1175,498,7b5cae0c3ac816a37a82ea70b8a406edbc001f8c794299a1a31ecb469b60085f,2060421daa100f552fb1cff556189c21a7d654c37728b20b9f0f93f4e94cbda2
Native,environment-hard-11,first,completed,true,success,0,0.010927,19347,17613,328,114,739a7a040384e8d1a5f7e69ca3ee5fead6bd149b1e65c4e2f164e95223108740,c8ccefaa49fecdffa7ade674e9c6ae59f4ac62415b900e89c2df656ffd7d42a9
Native,environment-hard-12,first,completed,true,llm_paraphrase,1,0.049492,45150,37631,2244,295,6e920e8748d06835f26d9e501f291131659d43449de1655a15219007b86aae51,8944c494c59f23464dd3893422854718a0e4816d2082152f32bffe6162a9bad1
Native,environment-hard-13,first,completed,true,success,1,0.017183,26565,24224,638,242,f2c26263496400787cb23a79aa0e903daa36f050f2b347a4a55d7df5a698059e,a00d7b4bee463f5fa4251ec80840e3c7bab746c4996686b5e1f15350c71ebf9d
Native,environment-hard-14,first,completed,true,success,1,0.043112,44348,37731,1861,567,e7dd35c32229b77ea7c4448a92cd350043de530ffb422b9f21ca9085fb059a6f,11e7c59876db5925d956ee9127c96e608be0b67b7ecd20050b39da43b6b3be82
Native,environment-hard-15,first,completed,true,success,1,0.022729,34416,31806,929,366,2fc5125aede5fbf4fbfe48b9f463d7135d1559c3862bd2d83827ab8aff1860cc,16021281c52407401d521822c9bd6e691d414290f4a1d1bf319b2ea95f25d869
Native,environment-hard-16,first,completed,true,success,0,0.032449,61613,56425,899,394,7c380fb9fdb79312a1e4967c1f35c106f191760aa80563763115c0ed9d44f298,c190325e0dc57771e71d0e1d826776116c84d8179c484f9c0566c5a0ffef7577
Native,environment-hard-17,first,completed,true,success,0,0.071716,82207,72279,3117,1247,c5ebcb0e36fe8e2ee11c18c5face5ba7b3fe03f426dd2537d9bd44c2beb792e1,e044840fe0a1f6a2938b44575d40d5a19481ffd32fb8604d547e67c79388bc07
Native,environment-hard-18,first,completed,true,llm_paraphrase,0,0.069331,77089,61444,2146,793,62b5568bc18cfbf0c9ea76fc1a5bf5a00f86c3c288853615183082f19fd7d804,5cfaa7e914049a9860333b8e160095b71ff59eeb3a651a01243c7a1a379b048e
Native,environment-hard-19,first,completed,true,success,0,0.065782,77916,66521,2474,815,9dba5921b058a960d36d68572df61e31152ac75a1184f98d1d5bd49cca172dae,c5831d19763b41c48ec6b55467409d8753275b58c741bd9328cd009d17689e43
Native,environment-hard-20,first,completed,true,f1,1.0,0.028482,40263,34840,889,181,cda08bc6711492f419a1d82b09f0454814304f5973f312e46f7ab3adc5e7074f,7cae0d9ec5e610ab05d3cb2331e7e1dfd0063a3ac196fd69df2425b0de9cccf3
Native,environment-hard-7,first,completed,true,success,1,0.023702,37816,34430,837,210,a06dd532ef1c642f469438a43956fcb2a9927a6c457dbd7937ed7dc8b1533de8,ec309da1c327759fff54fab2ce9a90cc22ead46dcb12c64cd89e59a5a356fb10
Native,environment-hard-8,first,completed,true,success,1,0.016941,27869,25407,578,155,d54eeec25ef87f4c65677fb4b8f2e83dd0c9d367471792b77197abaf29fb34c0,aa66fd3c7577a431013f85f679c5b802d342d8ce6470005bac28605c182abce4
Native,environment-hard-9,first,completed,true,f1,1.0,0.033122,37824,33872,1537,701,41bc130a30189441195733fafea3deb1ceca6a0acb855a35317e624de173954a,4ce8f70b4ef893261f19c537e14438ecca3be3ebba650794259ccef97d7ac5b1
Native,legal-easy-10,first,completed,true,f1,1.0,0.015746,26383,23740,476,34,c745bf04cc9df33c592945827a681c121fb321e90eb13537d8c437de0d0f0123,2249e4c38f2dd1bef54abfd3008f02cbd9bb01be59ac0326984b3502a98790c7
Native,legal-easy-11,first,completed,true,success,1,0.015699,26093,23537,490,56,42691d0d70e7f12e530f15e070e179dbeea386e3eb5a4982060e3cabaedefed7,8b3283cfda2fba7e1d84e9d8059aaee43770517c94193b6f920f60fd15833a73
Native,legal-easy-12,first,completed,true,success,0,0.010357,18361,17267,393,88,402536dcbde9adada1abad44c77d6999ee6a370f269a64f90e4073b068207d42,560d039296cca80b1b686421642b714e9a1a4c14ee893faeaac81a3dd4713ec9
Native,legal-easy-13,first,completed,true,success,1,0.016976,26370,23429,534,101,bd052076a38f13d224ce7bd92cb0d33809425b63a68e0f657f3b9cc6c18b5e7f,21db6e0873296a5555061cc3fd3703fcdb8e8bd1ce215067d19b1c7b4743aeea
Native,legal-easy-19,first,completed,true,success,0,0.025095,35553,32355,1019,317,c2b5dc1d08100df9e2e2ce2da2ffabdae9762d9761dc624769bb0a902577e01c,8a150979afd676d50978e46b931fd53bd15dceb356c52be37963e440dfae02fb
Native,legal-easy-20,first,completed,true,success,1,0.022367,34430,29656,574,85,21e051f322afc9914f21dd72e093361877e39342a1f6cd2e1ac598da5f06b8a7,e954654544debb343a800b4b003dd39f1c4b124e6ecf618fb62da6d3c98b2f8a
Native,legal-easy-21,first,completed,true,success,1,0.008964,18502,17311,260,48,b1b8bd2fd1719e40c05b570fc599dbc98906f0cd07967b9a3653ff615ac47f0c,a6106343e29a0fe406a8c139249bab9595a12494365023ec03dc0c1bc271035b
Native,legal-easy-25,first,completed,true,llm_paraphrase,1,0.015371,26773,24435,484,74,b9ac0b5a0ffc85dc16cae73e48521d449913b4c46a045aa0da98701c08386c3b,3cad54b08bf502558c2d71e624f24c549e75a94040b87a735c25e5780f457017
Native,legal-easy-26,first,completed,true,f1,0.0,0.011532,18776,17349,434,8,b9b67101699468035e8368c1898c077a667802f1bbf92d874ccec9d088d53d15,34bb18b61ba38226cedf876f8d21e789afdb0cc4f7ae07cdeda879d61e57db75
Native,legal-easy-27,first,completed,true,success,1,0.00812,18377,17341,215,9,6223c0abe570a15c1d56bf1790465be1f348e873ee6531c4dc476dc351a998fa,ecabdac8be5e097e0c777e9c08864e764fb53be152748a7978b0489c5dd14f18
Native,legal-easy-3,first,completed,true,rae_score,1.0,0.023479,34393,29684,677,156,5fb4a85b6ce64c508ace6e02fad85586e9613ff6f2661cc06f62b7f81865c4fc,32453408bfe143bc26a79783bc2e556c86599066601d27ea102573fc924bbef2
Native,legal-easy-4,first,completed,true,success,1,0.014062,25691,23480,412,72,9b9d2963513a794ce8c2a5c3b3a2d8d28b77c04b49e7ceb5bfbbb47e5e12b2c2,b837451ab03128ef706fad8a9b29a4bf27070932eef60f91dfb051e541dcb8f8
Native,legal-easy-5,first,completed,true,success,0,0.01447,26083,23529,388,33,2124d21e47e4814ba8271543ef6d8fb96718c280af934f00342431058d7719fb,cb0787d36d79b47de4dadfc61ad11ab60b99779978d07dfe1425d05125f966ed
Native,legal-easy-9,first,completed,true,success,1,0.016072,25875,23288,520,114,888134150d2a320135fb6f4fed5aef0bd7032a0f56bdecbe6e1ca3b28df2f385,91a1f57f050213fcfb783d592032a67dc4703d25de86799fd00028eea8b03859
Native,legal-hard-1,first,completed,true,success,1,0.052554,64127,57849,2369,1346,77dd2e827c3de98d61c1db9a77eb010b73bdb6f41d10321f6a13c7bc9c37d676,ef4e2517019033b99d3fe8a34ca9972e375e81a864aed95c35d7b07ba9f18eb3
Native,legal-hard-14,first,completed,true,f1,1.0,0.029001,31300,23973,796,131,08506893010577f02b3651d05f37fd85e8baa2c07d2a41ecf9078ab1d5e91873,ccbd38f294fbfb64fd3906f34cee4b6ce44f1d03665778648f6037cdfb5cf3e6
Native,legal-hard-15,first,completed,true,success,0,0.016567,26137,24144,646,291,d5e55fa672c5323ec111993971fe2be436eb6752047be8be730fb89d714c0c6a,671975f29830835e8c16b8d9e577b3d5a0ddcab3223d15f4a3ecb448e87cbe4a
Native,legal-hard-16,first,completed,true,success,1,0.018403,26867,24435,721,169,73acd6eefa9c6cc1a4ca48b2c9095d4069a4442c98799694be557ded2fc3381a,a1e958ce0266f88f59c785d4fbb69631a98cfec50c2b3b75b6a40f7511da77fe
Native,legal-hard-17,first,completed,true,success,1,0.023855,27215,24186,1080,542,14a6b0f4607b5afe06131144f3539a9b6f1fb5cabf89db2946abe880f123170f,590aaeec95ccb8f8b575c6f8fee414c030adedb6e42a2f31e8d2883641348467
Native,legal-hard-18,first,completed,true,success,1,0.032047,29623,25164,1508,491,6e6bc3d1b09c022443400c5c18f0910800122f1454b694a3a92c8c772d12721e,c8857294356a91829f6885e59dcaf1e9c192f334bbb04ea49bfcebf28b580d6f
Native,legal-hard-2,first,completed,true,llm_paraphrase,1,0.047399,54801,47604,1957,648,1edb88e389a56e01c366e5c1f4614f38b6e992fafd0e458aa9877d8ac8097583,3a4f6350696d7c28288ae067beb133afbaf2bd12ac27b608416a4e353535a3bb
Native,legal-hard-22,first,completed,true,success,0,0.016198,20011,17889,698,155,cc5c0695ddbcb9aa45dc0cb017f25b6369effd145dcbccb529c4e962d004f694,8c25002a06162c6daf01f56da3c35384ead1fcba61679cf31003757a25da5982
Native,legal-hard-23,first,completed,true,llm_paraphrase,1,0.031766,38106,31539,1027,390,00bf45c059b9e71318be53ef0c5805331a1bbf42544dfc85f1f3c18677ad3bca,96d90204c5c79e88b52b807e0e2b8c6b0dfc6f7dc9ced32695232435ee96b538
Native,legal-hard-24,first,completed,true,success,1,0.024225,38075,34767,888,164,e63494bd8c909aa200a9f1850aa80dcdbf5f3c9baef4d2d0ee8fcdfba62d9306,24531f57d7f63d4469abb3d3d6567f4aeb0983cb4db3ddf071545080b8d5c845
Native,legal-hard-28,first,completed,true,success,1,0.015034,27221,24920,454,199,3f1df0e8354e6f342725a0f24b54da98b62121740f5b04ff9395cb740dc88a0b,0bb7b8211cd65aacc8914292650b601989ccd3b6d93ddcfc366f1c2fabad9251
Native,legal-hard-29,first,completed,true,success,1,0.015947,19256,17363,724,211,2b47d7b47dc8b4e0c59691072f1965524d2cfbc783419faeb0746ded1d74266e,db4d23bbd098a004da967cba66263e067f315f0a081da1c7183c7c177ac4e1b3
Native,legal-hard-30,first,completed,true,success,1,0.01332,19700,17889,510,64,2b0348092d6801dd38be6f6f591c143506e60e82f76d1195ceb0c9045ca4cc1a,3686f1fbeee8da11d60b66d2bcecf6ec521856c5b0dce55b5910ab96f1efa8c6
Native,legal-hard-6,first,completed,true,success,1,0.027031,35466,32456,1210,210,ee9154d12b03980917a174653e3b41fbef6c8921d94e3be60d793858d521a041,eb41114a9b8b959cc3eaa601175572951cb03981ee00563d217f81608a96be59
Native,legal-hard-7,first,completed,true,success,1,0.013547,18948,17407,582,131,4cf0ed3ce92be8adcdbffd75b1edf6ad41e8175a951249d5017448cffd778036,974b2d0a679e35a3dec9ee96fd2b63d25d0e9c8dc087d413d1669c675d0e4a43
Native,legal-hard-8,first,completed,true,success,1,0.011935,19558,17814,407,43,7f969768a3d6653eecde429e7878372eacd5e10ae4b0efeb13d17a54324dca83,e4fa268a1fcd8f434275c06cea327d91d5dd62cd0b0267a7090b36317ebc8123
Native,wildfire-easy-1,first,completed,true,success,1,0.010212,18382,17278,379,135,e26fd0cdf2b9224dba1f83c0378d1f3488ad01c56e3a21c15923205e8a33ff7a,284dac90fc4b5c950294246586287c47ca18a6901b2a5861e00454ab9db59d43
Native,wildfire-easy-13,first,completed,true,llm_paraphrase,1,0.009888,18415,17241,341,105,d92809dc8e218c7b5913e90f35bcf5edbad6615105879ed27825483df9e5f453,960c47daacd2e8c6f9f2fe7f8f11b4a97188e2a776513b6234e1947095a8188c
Native,wildfire-easy-15,first,completed,true,success,1,0.016518,28994,26052,452,114,b810701b59468a5396263db0fe9d431276869cdffb6d5389ba7dc862deb06def,f3fd884a52396b37a80ee14db9e4c350d550db89cdcbba4258240a9b77d053ba
Native,wildfire-easy-2,first,completed,true,success,1,0.019493,28653,25887,732,132,b0f0d84d7376d6b3eb34ab80ae1d0f3c98294604d4d45b43d9efa19b578fe1c9,e668199721f2d1611ccd6b2cdae6182ca8d991f243888c0998e6ba001aef13a3
Native,wildfire-easy-3,first,completed,true,f1,1.0,0.042984,51674,47302,2065,715,ac462632b9a633a8e3a9ec0981d30dfad27a7c4e87c76fe82db048ba615da3d0,96d6bc30accb624556ec6130082a04e47198828959fe8024d4ac0dd514b94521
Native,wildfire-easy-8,first,completed,true,success,1,0.013722,26901,24760,374,101,87ed0c35fefad94c445aefa7dfe947c26479d3750467bf2e24719dd4fe978dd7,2a8ad805f09a78da68c3626c9a44b2fb40bb48ee33b105ca47deec66d2828ca4
Native,wildfire-easy-9,first,completed,true,rae_score,0.9076923076923077,0.014668,27073,24799,430,81,970fa3fa7dc44198e3293de346c9d52ac79a4b2ffee9b2990e87f8f21310ae02,9fdaceb58bcbf65eeafad5ef9e0041ff00526e8f6128818d2ef514a566a50277
Native,wildfire-hard-10,first,completed,true,success,1,0.013437,20554,18306,440,40,5fef2cadda5dcd8ed52e33cb5ea018ef14e6a7a254f3143166656de8038e1209,4b40b49c21cd288a1af13cbf97972aa745fc95fce5b97e2380666c3fae09af0e
Native,wildfire-hard-11,first,completed,true,success,1,0.008898,18296,17239,278,45,cb9370f1ee6e899b37c07ee9e8c28282bbabaf60b090a43248e9e5beb7950e6b,4c8bb73959829ff607577cc9218084da81454359f1a05459127c6cfe661b1dd1
Native,wildfire-hard-12,first,completed,true,llm_paraphrase,1,0.017703,27512,24754,603,138,7bcc78091f78f5f75e6445a50832f0d22502b9e90a5c76d7a61ae4d70015e06b,bf84adad7df879d09028de3d03f5342bf77e9483f52b1e6cf80c0c509049dc50
Native,wildfire-hard-14,first,completed,true,rae_score,0.7386363636363636,0.021997,29459,26005,824,246,f7426fc38bd5539ee38cf0d2dd95062341dd4afe4018fbe0662fd2a9865b9b68,b06204867e50d98780b8fb04f50fd3cfd04475797b5cf1ecacb5333efee56288
Native,wildfire-hard-16,first,completed,true,f1,1.0,0.026312,38891,34941,952,286,87aa157747639810f5f6b10ffcc6deb45d8dbf93f86f4b66d85bddeb0d24a9da,aecd5c76119f212244a87cdb3940834b3ee63ae5e61d87ae5ec1dcf169a32d5a
Native,wildfire-hard-17,first,completed,true,rae_score,0.7614431624739929,0.01849,36766,33559,447,126,f85d206d539e5a3e1b5b06c8dcf512cdb225423a19e100fe213e80fb9e117e8a,ebaf73f94ba1ba321003913f14c009a50dd30270aaf87bab0c97598febe8bc09
Native,wildfire-hard-18,first,completed,true,llm_paraphrase,0,0.061898,75668,67588,2685,741,2b44ae356ff0a2cde23f388273346f5884b1c2320336fc11bf28dd74f218da8d,370d2e0e19b0554e4caab3c6e5501f4812a08df86bb07c4af3cd3dc86ec21c70
Native,wildfire-hard-19,first,completed,true,rae_score,0.5,0.142456,104003,73130,5507,3761,286ac679dc47cef724ae9516922a8162e6618dc3578dfdf39a9a8eebc2bdeada,ad2f0897d385c50311b91fcaa4b907708c8c9ea73ff4f0dbb7ed843c1608bfd0
Native,wildfire-hard-20,first,completed,true,success,1,0.041085,65863,60923,1585,684,ca1f9672d573412bb3978e0deb12a1ee9e527055af98eb25a8257e4221169bd4,6024a827c5b8a3b8bfb70c597e2d33abdf063ed4338ce813829daff10662e335
Native,wildfire-hard-21,first,completed,true,f1,0.6666666666666666,0.03975,56467,52198,1731,705,2aca24ce5fd471dfd22e316619b146038b1fde531362cd332994dfa7453df0d9,ecc27d4f747c2fe39d5f8059ddb19ea5246f75955de7528c7c33308559d968fd
Native,wildfire-hard-4,first,completed,true,success,1,0.014838,20986,18361,493,62,c686f6632c2b1cb8c75563d86f7f866b62c42db61b1373bb1206a05bb3709602,b715057d928ad3e59cb3eaeda2be455cc2aeccd3c81a7ae9a30d2f5534e427aa
Native,wildfire-hard-5,first,completed,true,success,1,0.022195,28693,24297,712,170,722362af45568640c01edbdabda237f27f0ba3a68cbc3a3c70eacabe11803a7f,df8fd5166d3fa6e321acb8b7ec3e6dfe8c597bbca589c11cb4dc1473bd550bf0
Native,wildfire-hard-6,first,completed,true,rae_score,0.9923518164435946,0.02303,28634,24408,808,165,8971ad6e1e3e0dba3ba85c159f4681a81fcc02ed7f21737caaefeef3d906197a,6f7a933468d02b2fea6a05fea51ac226545786b26ae606eee6fe820911502ef0
Native,wildfire-hard-7,first,completed,true,llm_paraphrase,1,0.075855,70514,51594,2308,881,f060c321b950772d4366028c91a145705f589cb7926cdb0d543404a768224ad7,2a492a482152fe2dbd1951edc2433dd9586710e5f74747cb71ed552d95350fe5
DataOnly,archeology-easy-10,first,completed,true,success,1,0.010181,28931,28003,227,47,67aa0601333a44d766426bc8a0d65a2cb36d58859c0dcdade76e86c1f6f7206a,b1aee97ef9da8937710e7a1554cbed80307e27303f5e2b03c97ab6cff85ec7b9
DataOnly,archeology-easy-11,first,completed,true,success,0,0.020845,39561,38263,883,532,07b8c651271769f6793368eeb395a526f9b555a53b8a4d5c814d4e83f9c47221,c58227db385b32c34e2993f40bfeca1063729bb11ef41b95d97f701241b8f86f
DataOnly,archeology-easy-3,first,completed,true,success,1,0.011919,29206,28123,344,50,f6d4efd3f5cd977f7c3e5e8387935c76f6a30fd16c7b21c9c19a6368a371bc92,3ad02680244cd6191d03235e0672b939434f555372edb296bd5702104d66e48a
DataOnly,archeology-easy-4,first,completed,true,success,1,0.028784,63187,60670,968,325,c893baaa854174a278be72726b6c74a609f201e7a2dd687dd346e0e4533aee6c,e56d122403694b6aa1b950a32e637715b971cb2a9517770e116db382a8d00ca2
DataOnly,archeology-easy-6,first,completed,true,success,1,0.010608,29038,28018,247,9,9107ec8a34318a56eb867ac1eddebaee60356394c509e678cee1a5fa567bc8e8,8573784ec75560d16a20a6b3225a68ac8250273db5090b556f5eba736efe8829
DataOnly,archeology-easy-8,first,completed,true,success,0,0.012008,29029,27890,346,96,ae6159f10aece41f9f43d9bec4144f97b9355efa4d9e5369e97b7ebfe1a06665,8d2346b637ef8aad8a15fb2fa3e8ab1de60c0661328b3dde2c25f95babc96ea0
