dimension,task_id,principle_match,rich_sut,lean_sut,rich_score,lean_score,rich_answer,lean_answer,rich_cost,lean_cost,rich_steps,lean_steps,rich_input_tokens,lean_input_tokens,input_gap,setting_proven,more_context_observed,more_trace_work,rich_tool_calls,lean_tool_calls,rich_wf_ops,lean_wf_ops
sample,environment-easy-2,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.9333333333333333,"[2003, 2011, 2015, 2018, 2020, 2021, 2022, 2023]","[2003, 2011, 2018, 2020, 2021, 2022, 2023]",0.11747,0.025782,6,6,169332,40779,128553,True,True,True,25,4,24,4
mode,environment-hard-9,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach']","['Carson Beach, South Boston', 'City Point Beach, South Boston', 'Constitution Beach, East Boston', 'M Street Beach, South Boston', 'Malibu Beach, Dorchester', 'Pleasure Bay Beach, South Boston', 'Tenean Beach, Dorchester', 'Wollaston Beach, Quincy']",0.132524,0.057109,8,7,165835,51730,114105,True,True,True,23,6,20,5
sample,astronomy-hard-7,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,1.211e-13,No response from agent,0.211,0.408553,12,26,124312,223478,-99166,True,False,True,43,150,9,6
sample,biomedical-hard-5,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,2.6563,2.4241,0.133827,0.022502,17,6,130431,38764,91667,True,True,True,17,5,12,5
mode,environment-hard-8,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,54.03,51.62,0.049637,0.156515,5,17,61484,152815,-91331,True,False,True,11,17,11,10
info,astronomy-easy-4,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,"Average cycle length ≈ 11.25 years; maxima years: 1968, 1979, 1989, 2000, 2014; minima years: 1964, 1976, 1986, 1996, 2008","Between 1960 and 2020, the solar activity cycle has an average period of about 11.5 years; the five years of maximum activity (prominence ≥ 20, distance ≥ 5) are 1968, 1979, 1989, 2000, and 2014, and the five years of minimum activity (same rules applied to minima) are 1964, 1976, 1986, 1996, and 2008",0.045644,0.122131,7,16,65084,151471,-86387,True,False,False,5,19,5,9
info,astronomy-hard-9,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.0,0.0,24,Error: The operation timed out.,0.130135,0.125335,9,9,167065,82484,84581,True,True,True,12,17,8,7
sample,biomedical-hard-5,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,2.6563,2.4241,0.133827,0.024573,17,7,130431,46152,84279,True,True,True,17,6,12,6
mode,environment-hard-9,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.5714285714285715,"['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach']","['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach (Broadway)', 'Pleasure Bay Beach (Flagpole)']",0.220577,0.065951,8,6,173769,90339,83430,True,True,True,30,12,21,12
mode,environment-hard-12,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,1.0,0.0,Wollaston Beach,Carson Beach,0.165667,0.043006,5,5,115017,40317,74700,True,True,True,21,4,20,4
mode,environment-hard-9,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,1.0,0.36363636363636365,"['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach']","['Carson Beach', 'City Point Beach', 'Constitution Beach', 'M Street Beach', 'Malibu Beach', 'Pleasure Bay Beach', 'Tenean Beach', 'Wollaston Beach']",0.173042,0.038691,5,5,115305,40711,74594,True,True,True,19,4,19,4
info,environment-hard-11,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,0.37,0.40,0.022231,0.061515,5,12,37340,99886,-62546,True,False,False,3,10,3,6
mode,astronomy-hard-9,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,24,15,0.114176,0.070556,10,5,107037,45577,61460,True,True,True,12,8,7,6
info,environment-hard-13,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,11,12,0.022112,0.101361,5,12,34797,88794,-53997,True,False,False,3,10,3,7
mode,environment-hard-10,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,0.206,0.222,0.119012,0.053025,10,8,129450,77543,51907,True,True,True,12,8,9,6
sample,biomedical-hard-7,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,16,15,0.067643,0.01812,9,6,86285,34562,51723,True,True,True,7,4,5,3
mode,environment-hard-9,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,"['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach']","['City Point Beach, South Boston', 'Pleasure Bay Beach, South Boston']",0.108783,0.134979,14,13,146752,96169,50583,True,True,True,15,14,11,7
info,environment-hard-9,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.0,0.4,"['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach']","['City Point Beach', 'Pleasure Bay / Castle Island']",0.173042,0.172469,5,9,115305,165549,-50244,True,False,True,19,15,19,12
mode,astronomy-hard-8,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,"[6.1655e-07, 5.1206e-07]","[3.3468e-07, 3.9966e-07]",0.166716,0.138964,14,14,185831,136861,48970,True,True,True,22,17,16,12
info,environment-hard-12,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.0,0.0,Wollaston Beach,Carson Beach,0.165667,0.070423,5,5,115017,67093,47924,True,True,True,21,11,20,11
info,wildfire-hard-17,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.9408889062013088,4830.9,5134.4,0.103662,0.070785,14,13,149325,102298,47027,True,True,True,14,13,11,10
info,environment-hard-10,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.0,0.206,0.222,0.119012,0.112107,10,7,129450,83143,46307,True,True,True,12,11,9,8
mode,biomedical-hard-7,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,16,15,0.046059,0.01478,8,5,73126,27785,45341,True,True,True,6,3,5,2
info,astronomy-hard-8,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,"[6.1655e-07, 5.1206e-07]","[3.3468e-07, 3.9966e-07]",0.11869,0.138964,10,14,94621,136861,-42240,True,False,False,14,17,7,12
mode,legal-hard-1,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,12964.8727,19293.1852,0.077589,0.066988,11,8,114948,73455,41493,True,True,True,11,8,11,8
info,legal-hard-1,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.0,12964.8727,13612.7273,0.101423,0.288872,11,13,157012,197894,-40882,True,False,False,11,18,10,10
sample,astronomy-easy-6,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"[0.0193, -0.0020]","[0.0138, 0.0007]",0.040381,0.037059,6,3,68011,28282,39729,True,True,True,5,3,5,3
sample,biomedical-hard-7,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,16,15,0.046059,0.01812,8,6,73126,34562,38564,True,True,True,6,4,5,3
sample,astronomy-hard-9,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,1.0,0.0,24,46,0.130135,0.142274,9,9,167065,130557,36508,True,True,False,12,12,8,8
mode,legal-hard-15,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,243377,592134,0.033859,0.015677,7,4,59697,24187,35510,True,True,True,5,2,5,2
sample,astronomy-hard-8,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,"[6.1655e-07, 5.1206e-07]","[3.3468e-07, 3.9966e-07]",0.129172,0.138964,15,14,170896,136861,34035,True,True,False,15,17,12,12
sample,environment-hard-10,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,0.206,-0.062,0.119012,0.066499,10,9,129450,97716,31734,True,True,True,12,9,9,9
info,environment-hard-10,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.0,0.0,0.206,0.288,0.09471,0.103034,8,9,98635,129566,-30931,True,False,False,8,11,8,11
sample,astronomy-easy-6,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"[0.0193, -0.0020]","[0.0138, 0.0007]",0.037557,0.037059,5,3,59213,28282,30931,True,True,True,4,3,4,3
mode,legal-hard-1,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,12964.8727,13902.2400,0.101423,0.086711,11,12,157012,126911,30101,True,True,False,11,12,10,11
mode,legal-hard-18,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,91000,520000,0.049904,0.032491,7,4,57430,27955,29475,True,True,True,9,7,8,6
mode,astronomy-easy-6,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"[0.0193, -0.0020]","[0.0138, 0.0007]",0.054467,0.037059,5,3,57351,28282,29069,True,True,True,7,3,7,3
info,astronomy-hard-10,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]","['Lat_Angle_of_B_GSE', 0.606]",0.140705,0.157611,10,13,139931,166201,-26270,True,False,True,15,16,12,10
info,wildfire-hard-17,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.7614431624739929,4830.9,3317.4,0.090014,0.095028,11,11,143584,117364,26220,True,True,True,14,14,13,12
info,environment-hard-11,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,0.37,0.40,0.023665,0.043882,5,9,33425,58946,-25521,True,False,False,3,7,3,4
mode,biomedical-hard-5,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,2.6563,2.4241,0.06829,0.022502,7,6,62586,38764,23822,True,True,True,11,5,7,5
mode,legal-hard-15,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,243377,592134,0.047937,0.020826,7,5,56026,32835,23191,True,True,True,5,3,5,3
info,environment-hard-8,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,54.03,54.20,0.049637,0.074012,5,7,61484,83656,-22172,True,False,False,11,13,11,12
sample,environment-hard-10,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,0.206,0.222,0.079915,0.053025,9,8,99024,77543,21481,True,True,True,9,8,7,6
info,biomedical-hard-5,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,2.6563,2.4241,0.037754,0.022502,7,6,59897,38764,21133,True,True,True,8,5,6,5
info,biomedical-easy-2,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,68.5,68.1,0.026147,0.016424,6,4,43754,25006,18748,True,True,True,4,2,3,2
sample,biomedical-hard-7,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,16,15,0.022504,0.01478,8,5,44768,27785,16983,True,True,True,6,3,4,2
mode,legal-hard-15,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,243377,593524,0.029676,0.017166,6,4,39716,22995,16721,True,True,True,4,2,4,2
mode,biomedical-hard-5,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,2.6563,2.4241,0.087574,0.041995,7,8,83271,66898,16373,True,True,True,9,8,5,5
info,wildfire-hard-17,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.7100609980157272,4830.9,2858.3,0.07869,0.161219,12,16,142294,158127,-15833,True,False,False,12,16,9,11
sample,wildfire-hard-17,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.7614431624739929,4830.9,3317.4,0.090014,0.097848,11,13,143584,159142,-15558,True,False,True,14,13,13,11
info,environment-hard-7,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,10.87,0.11,0.029145,0.048516,6,8,45851,60930,-15079,True,False,False,5,7,5,7
info,environment-hard-11,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,0.37,0.40,0.029719,0.041991,6,8,45574,60073,-14499,True,False,False,4,6,4,4
sample,environment-hard-13,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,11,12,0.105699,0.069632,9,8,82497,68054,14443,True,True,True,7,6,3,3
info,archeology-hard-7,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,274,294,0.02588,0.019015,6,5,47862,34018,13844,True,True,True,5,4,5,4
mode,legal-hard-18,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,1.0,0.0,91000,520000,0.072463,0.031557,7,7,61020,47314,13706,True,True,True,10,6,8,6
mode,biomedical-hard-5,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,2.6563,2.4241,0.039438,0.024573,8,7,59349,46152,13197,True,True,True,9,6,7,6
mode,environment-hard-13,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,11,12,0.028297,0.030851,4,6,28802,41898,-13096,True,False,True,4,4,4,3
sample,astronomy-easy-4,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"Average cycle length ≈ 11.25 years; maxima years: 1968, 1979, 1989, 2000, 2014; minima years: 1964, 1976, 1986, 1996, 2008","The average solar cycle period is approximately 11.25 years; maxima years are 1968, 1979, 1989, 2000, and 2014; minima years are 1964, 1976, 1986, 1996, and 2008",0.045644,0.042938,7,7,65084,53349,11735,True,True,False,5,5,5,5
sample,biomedical-hard-7,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,16,15,0.022504,0.015748,8,6,44768,33045,11723,True,True,True,6,4,4,3
sample,legal-hard-15,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,243377,242682,0.033859,0.030231,7,7,59697,48579,11118,True,True,False,5,5,5,5
mode,legal-hard-15,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,243377,593524,0.026474,0.019147,6,5,40523,30437,10086,True,True,True,4,3,4,3
mode,environment-easy-2,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.9333333333333333,"[2003, 2011, 2015, 2018, 2020, 2021, 2022, 2023]","[2003, 2011, 2018, 2020, 2021, 2022, 2023]",0.028107,0.024841,6,5,44845,35163,9682,True,True,True,4,3,4,3
sample,environment-hard-7,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,10.87,0.11,0.030563,0.026755,6,6,56418,46972,9446,True,True,False,5,5,5,5
sample,biomedical-hard-5,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,2.6563,2.4241,0.048977,0.041995,5,8,57849,66898,-9049,True,False,True,10,8,10,5
info,environment-hard-9,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.4,"['Castle Island Beach', 'City Point Beach', 'Pleasure Bay Beach']","['City Point Beach', 'Pleasure Bay / Castle Island']",0.220577,0.234371,8,9,173769,182408,-8639,True,False,True,30,33,21,20
info,legal-hard-15,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,243377,242682,0.026474,0.030231,6,7,40523,48579,-8056,True,False,False,4,5,4,5
info,environment-easy-2,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.9333333333333333,"[2003, 2011, 2015, 2018, 2020, 2021, 2022, 2023]","[2003, 2011, 2018, 2020, 2021, 2022, 2023]",0.026794,0.024841,6,5,43034,35163,7871,True,True,True,4,3,4,3
info,environment-hard-12,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,Wollaston Beach,Carson,0.061008,0.060808,5,8,65604,58005,7599,True,True,True,11,7,10,6
sample,biomedical-easy-2,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.0,68.5,68.1,0.021475,0.015873,5,4,31886,24947,6939,True,True,True,3,2,3,2
sample,biomedical-easy-2,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,68.5,68.1,0.021475,0.016424,5,4,31886,25006,6880,True,True,True,3,2,3,2
info,biomedical-easy-2,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,68.5,68.1,0.023927,0.018695,6,6,43356,36798,6558,True,True,False,4,4,3,3
sample,environment-hard-18,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.0,True,False,0.091091,0.080976,4,4,69519,63413,6106,True,True,False,13,14,13,14
sample,environment-hard-7,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,10.87,0.11,0.029704,0.019341,5,5,38385,32521,5864,True,True,False,4,4,4,4
sample,wildfire-hard-18,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,"Controlling for weather, more aggressive suppression is linked to longer-lasting fires but fewer buildings threatened—so it does not make fires end faster, though it is associated with less building impact","More aggressive suppression is associated with fires lasting longer, but threatening fewer buildings, after controlling for weather",0.066297,0.051066,6,6,59919,54152,5767,True,True,False,6,6,4,5
info,environment-easy-2,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.9333333333333333,"[2003, 2011, 2015, 2018, 2020, 2021, 2022, 2023]","[2003, 2011, 2018, 2020, 2021, 2022, 2023]",0.030284,0.025782,6,6,45153,40779,4374,True,True,False,4,4,4,4
sample,environment-easy-2,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.9333333333333333,"[2003, 2011, 2015, 2018, 2020, 2021, 2022, 2023]","[2003, 2011, 2018, 2020, 2021, 2022, 2023]",0.028107,0.025782,6,6,44845,40779,4066,True,True,False,4,4,4,4
info,environment-hard-13,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,11,12,0.020484,0.030851,5,6,38185,41898,-3713,True,False,False,3,4,3,3
sample,environment-hard-7,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,10.87,0.11,0.022281,0.019341,5,5,35641,32521,3120,True,True,False,4,4,4,4
mode,astronomy-hard-10,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]","['Lat_Angle_of_B_GSE', 0.606]",0.1249,0.157611,11,13,169085,166201,2884,True,True,False,11,16,9,10
mode,environment-hard-13,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,11,12,0.033907,0.024546,5,5,33198,30543,2655,True,True,True,4,3,3,3
sample,wildfire-hard-12,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,No,Yes,0.017882,0.016029,4,4,29820,27230,2590,True,True,False,2,2,2,2
sample,astronomy-hard-9,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,24,15,0.085285,0.070556,5,5,48150,45577,2573,True,True,True,10,8,7,6
info,wildfire-hard-12,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,No,Yes,0.012693,0.013269,4,5,27319,29752,-2433,True,False,False,2,3,2,3
info,environment-hard-13,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,11,12,0.019127,0.024546,5,5,32546,30543,2003,True,True,False,3,3,3,3
info,legal-hard-1,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.0,12964.8727,3865.4167,0.077589,0.144738,11,9,114948,113149,1799,True,True,True,11,15,11,6
sample,legal-hard-22,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,1.0,0.0,0.0555,0.0097,0.053563,0.037209,7,7,54670,53235,1435,True,True,False,6,6,5,5
mode,archeology-hard-7,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,274,198,0.03303,0.041766,5,5,46663,45359,1304,True,True,False,4,4,4,4
sample,biomedical-hard-7,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,16,15,0.02205,0.018331,6,6,34035,32793,1242,True,True,False,4,4,2,3
info,environment-hard-18,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.0,True,False,0.068289,0.080976,4,4,64646,63413,1233,True,True,False,12,14,12,14
